Asthma,Total local tax,Acquisition tax,Automobile tax,Region development tax,Urban planning tax,local education tax,licence tax,property tax,revenue tax for previous year,local income tax,residence tax,Marriage rate,Birthrate,Divorce rate,The number of people living with dementia,The number of people who smoked,The number of current smokers,The number of people that drinks alcohol,The number of people who are drunk,The number of people who took consultant about one's drinking problem,The number of people who participated in exercise programs in a community,Weight control: exercise,Weight control: fasting,Weight control: dietary treatment,Weight control: diet pills with no prescription,Weight control: diet pills with prescription,The number of people who brushes their teeth after lunch,The number of people who neglected mandatory dental treatment,The number of people with experience with oral treatment,The number of people with experience with teeth scaling,The number of people who had stress counselling,The number of people who experienced depression,The number of people who had counselling about depression,The number of people who received influenza vaccination,The number of people who experienced with health checkup,The number of people who experienced with acute disease and addiction to an accident,The number of people who experienced with medical services (without dental clinic),The number of people who experienced with damage cause,The number of people who experienced with lying sick in bed,The number of economically active person,The number of people who enrolled in a private medicare,The number of people that visited health center,Averagee age that started smoking,The average smoking amount per day with everyday smokers,The average smoking days per month with random smokers,The average smoking amoung per day with random smokers,The number of years for smoking _ former smokers,The number of months for smoking _ former smokers,The average smoking amount per day _ former smokers,Average age that started drinking,Drinking frequency,The amount of drinking per day,High risk drinking rate (Male),High risk drinking rate (Female),The number of people who experienced with failure of drinking control,The number of people who experienced with difficulties in daily life after drinking,The number of people who experienced with blacked out after drinking,The number of days with heavy work outs,Hours with heavy work outs,The average minutes with heavy work outs,The number of days with regular work outs,Hours with regular work outs,Average minutes with regular work outs,The number of days with walking,The average hours for walking,The average minutes for walking,Accessability to fitness center,The number of days with breakfast in a week,Low salt preference _ the average amount of natrium consume,Low salt preference _ adding salt to meals,Low salt preference _ adding soy sauce to fried meals,The number of people who chekcs nutrient balance,Self-recognition of body shape,The number of people who experiences in diet control,Average height,Average weight,Self-rated dental health,The number of people who has difficulties with mastication,The number of people who has difficulties with pronunciation,Average sleeping time,Self-rated stress amount,Self-rated health condition,EQ-5D: exercise capacity,EQ-5D: self-care,EQ-5D: daily activities,EQ-5D: pain/discomfort,EQ-5D: anxiety/depression,EQ-VAS (0~100 오늘의 건강상태),Job categories: employer / owner,Job categories: employee,Job categories: unpaid family worker,Marital status: live together,Marital status: separated,Marital status: widowed,Marital status: divorced,Residence period less than 5 years in a city,Residence period less than 5~10 years in a city,Residence period less than 10~15 years in a city,Residence period less than 15~20 years in a city,Residence period more than 20 years in a city,monthly income
0.221131,"0.060621406","0.135551722","0.024720903","0.048847693","0.006673266","0.018680203","0.112996077","0.040458282","0.174589419","0.035737607","0.477803095","0.576934846","0.363119155","0.628249843","0.155890751","0.486825579","0.395158685","0.736674134","0.739710073","0.110212886","0.210785719","0.788281072","0.535637152","0.786892012","0.430413064","0.255847008","0.64889003","0.473165213","0.517832939","0.579307959","0.220427655","0.467681836","0.589632816","0.1384236","0.445688405","0.311348045","0.323944615","0.290844206","0.27525225","0.40915849","0.696731945","0.921058761","0.429879914","0.392753404","0.699636364","0.529682793","0.317786991","0.166304348","0.659124747","0.227775026","0.304416527","0.591393443","0.547092571","0.624148623","0.695125261","0.724259755","0.706047251","0.308425351","0.135353716","0.580700941","0.211017405","0.047538975","0.790387425","0.850183327","0.46215128","0.291780616","0.414607672","0.127526921","0.368147999","0.748719538","0.471755608","0.298903226","0.816268381","0.218397708","0.709832663","0.845905549","0.541671164","0.70959126","0.818461723","0.272197396","0.091179924","0.499710771","0.089738514","0.10181092","0.054034904","0.168131191","0.390272942","0.72250945","0.123332255","0.836717695","0.008696272","0.227081641","0.447486608","0.105637624","0.622556497","0.328546112","0.323418531","0.28951788","0.131564316","0.721724726","0.542510348"
0.058343,"0.036949737","0.088185691","0.032920818","0.034710462","0","0.014402117","0.082841586","0.031054389","0.173929236","0.016581961","0.423395009","0.861732774","0.633038656","0.364799533","0.376987593","0.76619284","0.302513892","0.940758703","0.875566269","0.055526204","0.254237774","0.74415189","0.417845488","0.762251716","0.309779636","0.171863857","0.822954377","0.711118121","0.472284144","0.604906666","0.630454732","0.610494572","0.495103381","0.160963957","0.566482361","0.152467125","0.371014922","0.15797399","0.429478021","0.422429662","0.729759707","0.948360514","0.146010482","0.429077691","0.522181818","0.370902003","0.326220434","0.133554469","0.438539054","0.149405261","0.225359705","0.557438117","0.521529992","0.4386008","0.355819095","0.292792526","0.475598352","0.187161876","0.110318261","0.616396661","0.180593722","0.051638718","0.798276073","0.806502131","0.206803923","0.458716742","0.274975921","0.260289936","0.362596996","0.780609556","0.445268553","0.185355004","0.957696739","0.239189935","0.806322193","0.876723539","0.484858863","0.66141915","0.896807394","0.150906166","0.194850944","0.364714383","0.177073461","0.119393326","0.115336631","0.210926597","0.41287096","0.845004404","0.192866595","0.740099159","0.030912723","0.472826952","0.156250552","0.088188316","0.395028377","0.280321728","0.277007115","0.30794784","0.128069032","0.74313937","0.584606855"
0.164393,"0.486296881","1","0.129150833","0.136901627","0.016718304","0.364947123","0.724251755","0.834793995","0.042017236","0.112833072","1","0.712339353","0.685909903","0.762661956","0.580645158","0.545799573","0.513839264","0.498965305","0.534281589","0.570151643","0.195409518","0.758364451","0.250279328","0.476390663","0.445321238","0.145149389","0.613425392","0.471529228","0.53428737","0.508798843","0.687407993","0.376936874","0.508379871","0.498356814","0.608234654","0.071369583","0.251576802","0.223137586","0.332325702","0.515014272","0.678929929","0.581704997","0.53854945","0.573034521","0.602666667","0.259259259","0.309226305","0.170494186","0.455581819","0.423007409","0.28147538","0.593440221","0.607637348","0.354461054","0.302807027","0.321728107","0.435004567","0.342156146","0.324460675","0.431807623","0.517927783","0.311250114","0.415245119","0.601748485","0.119269076","0.520876935","0.550044564","0.551143154","0.457067417","0.966586333","0.614636361","0.457650617","0.754736706","0.244671963","0.695514097","0.824477228","0.545274288","0.635161021","0.737787801","0.264278166","0.358941442","0.501134659","0.281063619","0.230293009","0.220456063","0.332886444","0.420642186","0.699270248","0.4301344","0.427900987","0.340013506","0.511001736","0.546601046","0.341788574","0.322135481","0.215570925","0.102427149","0.109316079","0.014982486","0.895116924","0.424604481"
0.129310,"0.033172615","0.065034965","0.037546335","0.024500154","0.013890782","0.014369107","0.054613541","0.041735074","0.165795852","0.013881022","0.391819825","0.364391835","0.336418074","0.271096077","0.188288914","0.327620124","0.169920266","0.851032664","0.824560486","0.083198769","0.502524979","0.926527512","0.191304352","0.886765613","0.371331524","0.398582342","0.779669951","0.808099467","0.728218437","0.651970671","0.740782383","0.511896245","0.346195668","0.213646254","0.687482488","0.291270859","0.591965686","0.293339018","0.66664066","0.222409479","0.763109784","0.893409238","0.319225848","0.221212456","0.593142857","0.385964912","0.219235586","0.090553977","0.399939229","0.185218918","0.103633066","0.412153073","0.507884766","0.478889557","0.681757952","0.626532625","0.521590373","0.127352689","0.094275955","0.682871669","0.215234235","0.076395316","0.848354093","0.866259831","0.10355264","0.584729258","0.216968081","0.281447827","0.362745828","0.755383342","0.473957453","0.013748838","0.979864491","0.025625059","0.628412215","0.688275185","0.523940477","0.56021479","0.777876055","0.124455435","0.086837294","0.395720517","0.163774108","0.108351814","0.141209906","0.314093772","0.492297387","0.912566745","0.114532404","0.669631667","0.074916387","0.398846457","0.175655995","0.156417102","0.712242499","0.218789569","0.208932071","0.238429617","0.267991706","0.755537516","0.455079566"
0.247918,"0.083330782","0.212773155","0.033846999","0.041597348","0.011300697","0.032154664","0.137606881","0.075916902","0.185369719","0.037821843","0.441702675","0.786442371","0.504861449","0.258339121","0.532328035","0.457037877","0.356950895","0.752925099","0.760297085","0.083018281","0.31232023","0.782937827","0.347071584","0.867248887","0.061754357","0.257095029","0.741750243","0.769618977","0.666110222","0.716255477","0.665113672","0.225821102","0.394793945","0.194933056","0.602224956","0.307238273","0.518255609","0.213918023","0.492482519","0.500097258","0.72454744","0.916942299","0.215331644","0.42179444","0.368842105","0.389966144","0.313207574","0.1071","0.321860265","0.119914208","0.356740831","0.547722129","0.517688598","0.447047116","0.429153125","0.620516221","0.73655671","0.186719091","0.185384632","0.52882858","0.314175486","0.138348929","0.711442033","0.783189905","0.137960853","0.543424129","0.292663764","0.233766649","0.501749363","0.753577724","0.400585161","0.128843393","0.969524354","0.066186463","0.80453883","0.836333309","0.41501783","0.600248208","0.854531462","0.012774573","0.093023403","0.396088922","0.098414226","0.064717291","0.096394039","0.211538943","0.304853052","0.960687004","0.199805807","0.818651501","0","0.326592922","0.35167723","0.189879073","0.372163059","0.223313011","0.374202817","0.301531454","0.217324652","0.711185204","0.498698779"
0.322932,"0.030306075","0.075682297","0.013810125","0.02101718","0.013628793","0.011706782","0.064667282","0.031692488","0.170131809","0.013777055","0.390345248","0.480758579","0.30573124","0.293062033","0.186867105","0.506116807","0.386557476","0.839733321","0.849723201","0.1376175","0.239880185","0.733016366","0.25889968","0.741870103","0.368527523","0.542894252","0.809479871","0.609298714","0.633101718","0.626044188","0.367115972","0.572339522","0.343581465","0.190732396","0.610914373","0.355131879","0.485924388","0.242665932","0.639480508","0.337529737","0.578951877","0.875680177","0.175131855","0.409241607","0.376421053","0.295167744","0.296106437","0.089202425","0.370728213","0.17336544","0.21972709","0.517331563","0.480538146","0.467707111","0.290994891","0.51457603","0.568256452","0.188913907","0.164004111","0.640475231","0.18089572","0.0882821","0.767080701","0.678977497","0.279860127","0.437153694","0.289034272","0.225498704","0.39088296","0.917871775","0.382760029","0.296252706","0.837679992","0.252610592","0.729908337","0.792566798","0.478026365","0.68825932","0.93316234","0.076057541","0.076862207","0.36791013","0.179668962","0.080118393","0.116055625","0.329898786","0.621467504","0.794167587","0.145028647","0.733552854","0.043647829","0.31236781","0.485945044","0.134475821","0.453530667","0.237066259","0.219151824","0.151918837","0.061811323","0.834108678","0.52618146"
0.216621,"0.015273422","0.066763738","0.015852961","0.017147315","0.013945884","0.008187389","0.038751902","0.013094897","0.159714586","0.001714982","0.387420733","0.612128199","0.509072284","0.482076665","0.279697197","0.549845288","0.398310869","0.831447192","0.811419686","0.137321228","0.174777636","0.64494142","0.378902048","0.70087245","0.49031217","0.123173138","0.669229812","0.521209371","0.794734929","0.554603333","0.512855854","0.32059731","0.734660926","0.167393744","0.52325607","0.125833841","0.293769159","0.237613126","0.359682225","0.516973076","0.719466662","0.855048994","0.32997443","0.325245198","0.459428571","0.233918129","0.202368231","0.2390625","0.332100454","0.251542963","0.326197695","0.566751939","0.577657023","0.518398345","0.605060427","0.4457478","0.461749943","0.1951303","0.226260952","0.468108213","0.179571728","0.120313526","0.654491166","0.765245252","0.090235032","0.66187888","0.393437602","0.37872236","0.375935736","0.86634637","0.341533843","0.025603858","0.753175941","0.32228174","0.720852287","0.641853185","0.315593587","0.76865007","0.910658693","0.259614768","0.111307474","0.301497671","0.125048679","0.069064077","0.079388442","0.253738422","0.188955129","0.795331636","0.14972292","0.838087848","0.078425344","0.262803468","0.134236321","0.167732893","0.997763586","0.191024678","0.236848336","0.251604167","0.2449178","0.760118148","0.467807499"
0.290844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.290228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.182287,"0.012458825","0.046782024","0","0.015183893","0.013406064","0.010043178","0.021969883","0.007553519","0.167920246","0.001344707","0.389149647","0.549626671","0.373200692","0.527108204","0.218719462","0.713074629","0.564964356","0.901476654","0.777982735","0.082838584","0.305646558","0.793020934","0.432900432","0.786542632","0.616206736","0.326594397","0.747869935","0.75660464","0.695642476","0.673705775","0.774126411","0.574389372","0.590909091","0.273137834","0.681831056","0.265012941","0.713382438","0.27860293","0.448186258","0.356177797","0.728079273","0.81979409","0.519055809","0.505874413","0.573","0.281432749","0.370574543","0.117156457","0.297002159","0.396025216","0.292096752","0.510674363","0.380285482","0.4795592","0.492241188","0.385153218","0.691345377","0.123773537","0.1505751","0.584563519","0.245118908","0.163425091","0.643826694","0.926051008","0.354125492","0.41533802","0.317528626","0.225554788","0.307619639","0.571000067","0.472868523","0.418167688","0.779920466","0.174075389","0.609730632","0.706365923","0.547694043","0.506705622","0.679925042","0.100137367","0.15940293","0.459456471","0.276256064","0.253219601","0.246742575","0.357452809","0.86954763","0.804936223","0.187792472","0.688382072","0.07892108","0.444517896","0.174549461","0.130612241","0.708573914","0.024757609","0.109720445","0.131334572","0.161893776","0.899250021","0.385185427"
